varname,group,type,freqtable,description
body,1_id,String,1,"The body issuing the document. In the main data set this is always the UN Security Council (\enquote{S}), in the network data this may also be the UN General Assembly (\enquote{A})."
call\_number,1_id,String,1,The call number of the resolution. This is either \enquote{UNS(01)/R3} or NA. Curated by the UN Digital Library.
committee\_report,1_id,String,0,The official UN symbol of the committee report. Example: \enquote{S/2006/58}. Curated by the UN Digital Library.
date,1_id,Date,0,The adoption date of the resolution in the format YYYY-MM-DD (ISO 8601). Example: \enquote{2016-11-09}. Extracted with REGEX from the \enquote{other\_titles} variable and corrected by the authors.
doc\_id,1_id,String,0,The filename of the extracted English language TXT file.
doctype,1_id,String,1,The type of the main document. In this data set always \enquote{RES}.
draft,1_id,String,0,The official UN symbol of the draft. Example: \enquote{S/2023/102}. Curated by the UN Digital Library.
meeting\_no,1_id,Integer,0,The number of the UN Security Council meeting in which the resolution was adopted.
meeting\_record,1_id,String,0,The official UN symbol of the meeting record. Example: \enquote{S/PV.8891}. Curated by the UN Digital Library.
related\_resource,1_id,String,0,The official UN symbol of related resources. Example: \enquote{S/1234}. Curated by the UN Digital Library.
res\_no,1_id,Integer,0,The number of the resolution. Example: \enquote{156}. Extracted with REGEX from the \enquote{other\_titles} variable.
symbol,1_id,String,0,The official UN symbol of the resolution. Example: \enquote{S/RES/2316} (2016)
year,1_id,Integer,1,The adoption year of the resolution in the format YYYY (ISO 8601). Example: \enquote{2016}
nchars,2_text,Integer,0,The number of characters in the English text of the resolution. Calculated with the nchar() function in R.
npages,2_text,Integer,0,Number of pages of the English PDF version of the document. Curated by the UN Digital Library.
nsentences,2_text,Integer,0,"The number of sentences in a given document. Computed with the quanteda package for R. This count was generated based on plain tokenization with no further pre-processing (e.g. stopword removal, removal of numbers, lowercasing) applied. The rules for detecting sentence boundaries are very complex and are described in \enquote{Unicode Standard Annex No 29}."
ntokens,2_text,Integer,0,"The number of tokens (an arbitrary character sequence bounded by whitespace) in a given document. Computed with the quanteda package for R. This count was generated based on plain tokenization with no further pre-processing (e.g. stopword removal, removal of numbers, lowercasing) applied."
ntypes,2_text,Integer,0,"The number of types (unique tokens) in a given document. Computed with the quanteda package for R. This count was generated based on plain tokenization with no further pre-processing (e.g. stopword removal, removal of numbers, lowercasing) applied."
text,2_text,String,0,"The English full text of the resolution. Up to resolution 899 this is OCR text revised by international lawyers (gold standard), later resolutions are assumed to be born-digital and the text is extracted from the PDF file as-is."
text\_ar,2_text,String,0,"The Arabic full text of the resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
text\_draft,2_text,String,0,"The English full text of the draft resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
text\_es,2_text,String,0,"The Spanish full text of the resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
text\_fr,2_text,String,0,"The French full text of the resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
